"UniversalName","Strain","VectorBorne","Vector","OtherTaxonomicInfo","Reference_Reservoir","Reference_Vector","LatestSppName","HumanOnly","IndirectDetectionOnly","Reference","DataSource","Reservoir","Accessions","WholeGenome","InfectsHumans"
"Harkavirus A","Falcovirus A1",0,NA,NA,"boros2015",NA,"Harkavirus A",FALSE,FALSE,"NA","Woolhouse2018; Internal","Orphan","NC_026921.1",1,FALSE
"Hedgehog coronavirus 1","Betacoronavirus Erinaceus",0,NA,NA,NA,NA,"Hedgehog coronavirus 1",FALSE,FALSE,"NA","Woolhouse2018; Internal","Erinaceidae","NC_022643.1",1,FALSE
"Hendra henipavirus","Hendra virus",0,NA,NA,NA,NA,"Hendra henipavirus",FALSE,FALSE,"Tulsiani et al. 2011; 9815409; 23302882; ","Olival2017; Woolhouse2018; Internal","Pterobat","NC_001906.3",1,TRUE
"Hepacivirus C","Hepatitis C virus",0,NA,NA,NA,NA,"Hepacivirus C",FALSE,FALSE,"2523562; 26212868; Fields virology; Abreha et al. 2011","Olival2017","Human","NC_004102.1",1,TRUE
"Hepatitis B virus","Hepatitis B virus genotype A",0,NA,"Automatic match",NA,NA,"Hepatitis B virus",FALSE,FALSE,"Ghosh et al. 2010","Olival2017","Human","AJ344115.1",1,TRUE
"Hepatovirus A","Hepatitis A virus (wild type)",0,NA,NA,NA,NA,"Hepatovirus A",FALSE,FALSE,"Braga et al. 2009; 4356028; 25050760","Olival2017; Woolhouse2018","Human","NC_001489",1,TRUE
"Hepatovirus B","Phopivirus",0,NA,NA,NA,NA,"Hepatovirus B",FALSE,FALSE,"NA","Woolhouse2018; Internal","Carnivore","NC_027818.1",1,FALSE
"Herbert herbevirus","Herbert virus",0,"Mosquito",NA,NA,NA,"Herbert herbevirus",FALSE,FALSE,"NA","Woolhouse2018; Internal","Insect","JQ659256.1; JQ659257.1; JQ659258.1",1,FALSE
"Highlands J virus","Highlands J virus",1,"Mosquito",NA,"allison2015",NA,"Highlands J virus",FALSE,TRUE,"NA; 11057975; 19651164","Woolhouse2018","Passeriformes","NC_012561.1",1,FALSE
"Hirame novirhabdovirus","Hirame rhabdovirus",0,NA,NA,NA,NA,"Hirame novirhabdovirus",FALSE,FALSE,"NA","Woolhouse2018; Internal","Fish","NC_005093.1",1,FALSE
"Human alphaherpesvirus 1","Human alphaherpesvirus 1",0,NA,NA,NA,NA,"Human alphaherpesvirus 1",FALSE,FALSE,"Mackay et al. 2003","Olival2017","Human","NC_001806.2",1,TRUE
"Human alphaherpesvirus 2","Human alphaherpesvirus 2",0,NA,NA,NA,NA,"Human alphaherpesvirus 2",FALSE,FALSE,"Nahmias & Dowdle 1968","Olival2017","Human","NC_001798.2",1,TRUE
"Human alphaherpesvirus 3","Human alphaherpesvirus 3",0,NA,NA,NA,NA,"Human alphaherpesvirus 3",FALSE,FALSE,"Mackay et al. 2003","Olival2017","Human","NC_001348.1",1,TRUE
"Human betaherpesvirus 5","Human betaherpesvirus 5",0,NA,NA,NA,NA,"Human betaherpesvirus 5",FALSE,FALSE,"Mackay et al. 2003","Olival2017","Human","NC_006273.2",1,TRUE
"Human betaherpesvirus 7","Human betaherpesvirus 7",0,NA,NA,NA,NA,"Human betaherpesvirus 7",FALSE,FALSE,"Astegiano et al. 2010","Olival2017","Human","NC_001716.2",1,TRUE
"Human coronavirus 229E","Camel alphacoronavirus",0,NA,"Strain",NA,NA,"Human coronavirus 229E",FALSE,FALSE,"4285768; 26556276; ; Hamre & Procknow 1966","Olival2017","Human","NC_002645.1",1,TRUE
"Human coronavirus HKU1","Human coronavirus HKU1",0,NA,NA,NA,NA,"Human coronavirus HKU1",TRUE,FALSE,"15613317; 23161446; ","Woolhouse2018; Internal","Human","NC_006577.2",1,TRUE
"Human coronavirus NL63","Human coronavirus NL63",0,NA,NA,NA,NA,"Human coronavirus NL63",TRUE,FALSE,"15073334; 21366416; ","Woolhouse2018; Internal","Human","NC_005831.2",1,TRUE
"Human gammaherpesvirus 4","Human gammaherpesvirus 4",0,NA,NA,NA,NA,"Human gammaherpesvirus 4",TRUE,FALSE,"Mackay et al. 2003","Olival2017","Human","NC_007605.1",1,TRUE
"Human gammaherpesvirus 8","Human gammaherpesvirus 8",0,NA,NA,NA,NA,"Human gammaherpesvirus 8",FALSE,TRUE,"Butler et al. 1996","Olival2017","Human","NC_009333.1",1,TRUE
"Human immunodeficiency virus 1","Human immunodeficiency virus 1",0,NA,"Automatic match",NA,NA,"Human immunodeficiency virus 1",FALSE,FALSE,"6189183; 7962552; Dwyer et al. 2010","Olival2017","Human","NC_001802.1",1,TRUE
"Human immunodeficiency virus 2","Human immunodeficiency virus 2",0,NA,"Automatic match",NA,NA,"Human immunodeficiency virus 2",FALSE,FALSE,"3006256; 27530215; Dwyer et al. 2010","Olival2017","Human","NC_001722.1",1,TRUE
"Human mastadenovirus A","Human mastadenovirus A",0,NA,NA,NA,NA,"Human mastadenovirus A",FALSE,FALSE,"Roy et al. 2009","Olival2017","Human","AC_000005.1",1,TRUE
"Human mastadenovirus B","Human adenovirus 35",0,NA,NA,NA,NA,"Human mastadenovirus B",FALSE,FALSE,"Roy et al. 2009","Olival2017","Human","AC_000019.1",1,TRUE
"Human mastadenovirus C","Human adenovirus 1",0,NA,NA,NA,NA,"Human mastadenovirus C",FALSE,FALSE,"Roy et al. 2009","Olival2017","Human","AC_000017.1",1,TRUE
"Human mastadenovirus D","Human mastadenovirus D",0,NA,NA,NA,NA,"Human mastadenovirus D",TRUE,FALSE,"Roy et al. 2009","Olival2017","Human","NC_010956.1",1,TRUE
"Human mastadenovirus E","Human adenovirus 4",0,NA,NA,NA,NA,"Human mastadenovirus E",FALSE,FALSE,"Roy et al. 2009","Olival2017","Human","NC_003266.2",1,TRUE
"Human mastadenovirus F","Human mastadenovirus F",0,NA,NA,NA,NA,"Human mastadenovirus F",FALSE,FALSE,"Roy et al. 2009","Olival2017","Human","NC_001454.1",1,TRUE
"Human metapneumovirus","Human metapneumovirus",0,NA,NA,NA,NA,"Human metapneumovirus",FALSE,FALSE,"van de Hoogen et al. 2001; ; 11385510; 22874773","Woolhouse2018","Human","NC_004148.2",1,TRUE
"Human orthopneumovirus","Human respiratory syncytial virus",0,NA,NA,NA,NA,"Human orthopneumovirus",FALSE,FALSE,"Lu et al. 2011; ; 13478578; 28458916","Woolhouse2018","Human","NC_001781.1",1,TRUE
"Human picobirnavirus","Human picobirnavirus",0,NA,"Automatic match",NA,NA,"Human picobirnavirus",FALSE,FALSE,"2898672; 17245535; Bhattacharya et al. 2006","Olival2017","Orphan","NC_007026.1; NC_007027.1",1,TRUE
"Human polyomavirus 1","Human polyomavirus 1",0,NA,NA,NA,NA,"Human polyomavirus 1",FALSE,FALSE,"Gardner et al. 1971","Olival2017","Human","NC_001538.1",1,TRUE
"Human polyomavirus 2","Human polyomavirus 2",0,NA,NA,NA,NA,"Human polyomavirus 2",FALSE,FALSE,"Padgett et al. 1971","Olival2017","Human","NC_001699.1",1,TRUE
"Human respirovirus 1","Human parainfluenza virus 1",0,NA,NA,NA,NA,"Human respirovirus 1",FALSE,FALSE,"; Terlizzi et al. 2009; 13504446; 23343342","Olival2017; Woolhouse2018","Human","NC_003461.1",1,TRUE
"Human respirovirus 3","Human parainfluenza virus 3",0,NA,NA,NA,NA,"Human respirovirus 3",FALSE,FALSE,"; Nichols et al. 2004; 13504446; 21466639","Olival2017; Woolhouse2018","Human","NC_001796.2",1,TRUE
"Human rubulavirus 2","Human parainfluenza virus 2",0,NA,NA,NA,NA,"Human orthorubulavirus 2",FALSE,FALSE,"; Gerna et al. 2011; 13367330; 19386708; 28095926","Olival2017; Woolhouse2018","Human","NC_003443.1",1,TRUE
"Human rubulavirus 4","Human rubulavirus 4",0,NA,NA,NA,NA,"Human orthorubulavirus 4",FALSE,FALSE,"14407482; 19386708; 28095926; Johnson et al. 1960","Olival2017","Human","NC_021928.1",1,TRUE
"Ikoma lyssavirus","Ikoma lyssavirus",0,NA,NA,NA,NA,"Ikoma lyssavirus",FALSE,FALSE,"; http://www.ncbi.nlm.nih.gov/pubmed/24496827","Internal","Orphan","NC_018629.1",1,TRUE
"Ilheus virus","Ilheus virus",1,"Mosquito",NA,"shope2003",NA,"Ilheus virus",FALSE,FALSE,"Causey et al. 1961; 20285157; 23875051; http://jgv.microbiologyresearch.org/content/journal/jgv/10.1099/0022-1317-82-8-1867#tab2, Woolhouse 2013","Olival2017; Woolhouse2018; Internal","Orphan","NC_009028.2",1,TRUE
"Indiana vesiculovirus","Vesicular stomatitis Indiana virus",1,"Sandfly",NA,NA,NA,"Indiana vesiculovirus",FALSE,FALSE,"Fields & Hawkins 1967; 13549332; 4335268; http://www.sciencedirect.com/science/article/pii/S1567134809000380","Olival2017; Woolhouse2018; Internal","Artiodactyl","NC_038236.1",1,TRUE
"Influenza A virus","A/Alabama/01/2017(H3N2)",0,NA,"Automatic match",NA,NA,"Influenza A virus",FALSE,FALSE,"Zhang et al. 2011; Available from external site; 23746799; 28302313","Olival2017; Woolhouse2018","Human","CY216614.1; CY216615.1; CY216616.1; CY216617.1; CY216618.1; CY216619.1; CY216620.1; CY216621.1",1,TRUE
"Influenza B virus","B/Alaska/06/2018",0,NA,"Automatic match",NA,NA,"Influenza B virus",FALSE,FALSE,"Do et al. 2011; Available from external site; 25268241; 28302313","Olival2017; Woolhouse2018","Human","MH245265.1; MH245264.1; MH245263.1; MH245262.1; MH245261.1; MH245260.1; MH245259.1; MH245258.1",1,TRUE
"Influenza C virus","C/Victoria/2/2012",0,NA,"Automatic match",NA,NA,"Influenza C virus",FALSE,FALSE,"Gouarin et al. 2008; 14787444; 23408893; 28302313","Olival2017; Woolhouse2018","Human","KM504277.1; KM504278.1; KM504279.1; KM504280.1; KM504281.1; KM504282.1; KM504283.1",1,TRUE
"Iotapapillomavirus 1","Iotapapillomavirus 1",0,NA,NA,NA,NA,"Iotapapillomavirus 1",FALSE,NA,"","Olival2017","Rodent","NC_001605.1",1,FALSE
"Ippy mammarenavirus","Ippy virus",0,NA,NA,NA,NA,"Ippy mammarenavirus",FALSE,FALSE,"NA","Olival2017; Woolhouse2018; Internal","Rodent","NC_007906.1; NC_007905.1",1,FALSE
"Irkut lyssavirus","Irkut virus",0,NA,NA,NA,NA,"Irkut lyssavirus",FALSE,FALSE,"; 23505588; 16705370; ","Woolhouse2018; Internal","Vespbat","NC_020809.1",1,TRUE
"Isfahan vesiculovirus","Isfahan virus",1,"Sandfly",NA,NA,NA,"Isfahan vesiculovirus",FALSE,FALSE,"Tesh et al. 1977; 192094; 192094; http://europepmc.org/abstract/med/192094","Olival2017; Woolhouse2018; Internal","Rodent","NC_020806.1",1,TRUE
"Jaagsiekte sheep retrovirus","Jaagsiekte sheep retrovirus",0,NA,"Automatic match",NA,NA,"Jaagsiekte sheep retrovirus",FALSE,NA,"","Olival2017; Woolhouse2018","Artiodactyl","NC_001494.1",1,FALSE
"Japanese encephalitis virus","Japanese encephalitis virus",1,"Mosquito",NA,"lord2015",NA,"Japanese encephalitis virus",FALSE,FALSE,"Wolfe et al. 2001; Available from external site; 19786116; http://jgv.microbiologyresearch.org/content/journal/jgv/10.1099/0022-1317-82-8-1867#tab2","Olival2017; Woolhouse2018; Internal","Artiodactyl","GQ902058.1",1,TRUE
"Jonchet orthojonvirus","Jonchet virus",0,"Mosquito",NA,NA,NA,"Jonchet jonvirus",FALSE,FALSE,"NA","Woolhouse2018; Internal","Insect","KP710232.1; KP710240.1; KP710243.1",1,FALSE
"Jugra virus","Jugra virus",1,"Mosquito","Automatic match",NA,NA,"Jugra virus",FALSE,NA,"","Olival2017; Woolhouse2018","Orphan","NC_033699.1",1,FALSE
"Junín mammarenavirus","Junin arenavirus",0,NA,NA,NA,NA,"Argentinian mammarenavirus",FALSE,FALSE,"Simpson et al. 1978; 13586110; 24901990; 12615305; ","Olival2017; Woolhouse2018; Internal","Rodent","NC_005080.1; NC_005081.1",1,TRUE
"Jurona vesiculovirus","Jurona virus",1,"Mosquito",NA,NA,NA,"Jurona vesiculovirus",FALSE,FALSE,"; Vasconcelos PFC, Travassos da Rosa APA, Pinheiro FP, Shope RE, Travassos da Rosa JFS, Rodrigues SG, et al. Arboviruses pathogenic for man in Brazil. In: Travassos da Rosa APA, Vasconcelos PFC, Travassos da Rosa JFS, editors. An overview of arbovirology in Brazil and neighboring countries. Belem (Brazil); Instituto Evandro Chagas; 1998. p. 72_99.","Internal","Orphan","NC_025392.1",1,TRUE
"Jutiapa virus","Jutiapa virus",0,NA,NA,NA,NA,"Jutiapa virus",FALSE,NA,"","Olival2017; Woolhouse2018","Rodent","NC_026620.1",1,FALSE
"Kaeng Khoi orthobunyavirus","Kaeng Khoi orthobunyavirus",NA,NA,"Automatic match",NA,NA,"Kaeng Khoi orthobunyavirus",FALSE,NA,"","Olival2017; Woolhouse2018","Orphan","NC_034499.1; NC_034500.1; NC_034501.1",1,FALSE
"Kairi orthobunyavirus","Kairi orthobunyavirus",1,"Mosquito","Automatic match",NA,NA,"Kairi orthobunyavirus",FALSE,TRUE,"Tauro et al. 2009; 5585978; 13793361","Olival2017; Woolhouse2018","Orphan","KR260738.1; KR260739.1; KR260740.1",1,FALSE
"Kappapapillomavirus 1","Kappapapillomavirus 1",0,NA,NA,NA,NA,"Kappapapillomavirus 1",FALSE,NA,"","Olival2017","Lagomorph","NC_002232.1",1,FALSE
"Kappapapillomavirus 2","Kappapapillomavirus 2",0,NA,NA,NA,NA,"Kappapapillomavirus 2",FALSE,NA,"","Olival2017","Lagomorph","NC_001541.1",1,FALSE
"Kasokero orthonairovirus","Kasokero orthonairovirus",NA,NA,"Automatic match",NA,NA,"Kasokero orthonairovirus",FALSE,FALSE,"; Kalunda et al. 1986","Olival2017","Pterobat","NC_036636.1; NC_029933.1; NC_029932.1",1,TRUE
"Kedougou virus","Kedougou virus",1,"Mosquito",NA,NA,NA,"Kedougou virus",FALSE,NA,"","Woolhouse2018","Orphan","NC_012533.1",1,FALSE
"Kern Canyon ledantevirus","Kern Canyon ledantevirus",NA,NA,"Automatic match",NA,NA,"Kern Canyon ledantevirus",FALSE,NA,"","Olival2017; Woolhouse2018","Vespbat","NC_034451.1",1,FALSE
"Keuraliba ledantevirus","Keuraliba ledantevirus",NA,NA,"Automatic match",NA,NA,"Keuraliba ledantevirus",FALSE,NA,"","Olival2017; Woolhouse2018","Rodent","NC_034540.1",1,FALSE
"Khabarovsk orthohantavirus","Khabarovsk orthohantavirus",0,NA,"Merged",NA,NA,"Khabarovsk orthohantavirus",FALSE,NA,"","Olival2017; Woolhouse2018","Rodent","NC_034519.1; NC_034518.1; NC_034527.1",1,FALSE
"Khujand lyssavirus","Khujand virus",0,NA,NA,NA,NA,"Khujand lyssavirus",FALSE,FALSE,"; ","Internal","Vespbat","NC_025385.1",1,TRUE
"Kimberley ephemerovirus","Kimberley virus",1,NA,NA,NA,NA,"Kimberley ephemerovirus",FALSE,FALSE,"NA","Woolhouse2018; Internal","Artiodactyl","NC_025396.1",1,FALSE
"Kokobera virus","Kokobera virus",1,"Mosquito",NA,NA,NA,"Kokobera virus",FALSE,FALSE,"Boughton et al. 1986; 3007952; 10930658; http://www.sciencedirect.com/science/article/pii/S016817020000143X","Olival2017; Woolhouse2018; Internal","Diprotodontia","NC_032088.1",1,TRUE
"Kolente ledantevirus","Kolente virus",1,"Tick",NA,NA,NA,"Kolente ledantevirus",FALSE,FALSE,"NA","Woolhouse2018; Internal","Orphan","NC_025342.1",1,FALSE
"Koongol orthobunyavirus","Koongol orthobunyavirus",1,"Mosquito","Automatic match",NA,NA,"Koongol orthobunyavirus",FALSE,NA,"","Olival2017; Woolhouse2018",NA,"KP792669.1; KP792668.1; KP792667.1",1,FALSE
"Kotonkan ephemerovirus","Kotonkan virus",1,"Midge",NA,NA,NA,"Kotonkan ephemerovirus",FALSE,TRUE,"NA; Kemp et al. 1973","Olival2017","Orphan","NC_017714.1",1,FALSE
"Koutango virus","Koutango virus",1,"Mosquito","Automatic match",NA,NA,"Koutango virus",FALSE,FALSE,"; Karabatsos 1985","Olival2017","Rodent","EU082200.2",1,TRUE
"Kyasanur Forest disease virus","Kyasanur forest disease virus",1,"Tick",NA,NA,NA,"Kyasanur Forest disease virus",FALSE,FALSE,"Wang et al. 2009; 13448774; 19788811; Calisher, Charles H., and Ernest A. Gould. \Taxonomy of the virus family Flaviviridae.\ï_ê‘_ï_ê‘__Advances in virus researchï_ê‘_ï_ê‘__59 (2003): 1-20.","Olival2017; Woolhouse2018; Internal","NonHumanPrimate","JF416960.1",1,TRUE
"Lactate dehydrogenase-elevating virus","Lactate dehydrogenase-elevating virus",0,NA,"Automatic match",NA,NA,"Gammaarterivirus lacdeh",FALSE,NA,"","Olival2017; Woolhouse2018","Rodent","NC_001639.1",1,FALSE
"Lagos bat lyssavirus","Lagos bat virus",0,NA,NA,NA,NA,"Lagos bat lyssavirus",FALSE,FALSE,"; ","Internal","Pterobat","NC_020807.1",1,TRUE
"Laguna Negra orthohantavirus","Laguna Negra orthohantavirus",0,NA,"Merged",NA,NA,"Laguna Negra orthohantavirus",FALSE,FALSE,"Levis et al. 1999; de Oliveira et al. 2014; 9375015; 11791973","Olival2017; Woolhouse2018","Rodent","AF005728.1; AF005727.1",0,TRUE
"Lambdapapillomavirus 1","Lambdapapillomavirus 1",0,NA,NA,NA,NA,"Lambdapapillomavirus 1",FALSE,NA,"","Olival2017","Carnivore","NC_004765.1",1,FALSE
"Lambdapapillomavirus 2","Lambdapapillomavirus 2",0,NA,NA,NA,NA,"Lambdapapillomavirus 2",FALSE,NA,"","Olival2017","Carnivore","NC_001619.1",1,FALSE
"Langat virus","Langat virus",1,"Tick",NA,NA,NA,"Langat virus",FALSE,FALSE,"13369466; 22984545; 19486319; http://jgv.microbiologyresearch.org/content/journal/jgv/10.1099/0022-1317-82-8-1867#tab2","Woolhouse2018; Internal","Orphan","NC_003690.1",1,TRUE
"Lassa mammarenavirus","Lassa virus",0,NA,NA,NA,NA,"Lassa mammarenavirus",FALSE,FALSE,"Panning et al. 2010; 4987547; 26276630; 15487592; ","Olival2017; Woolhouse2018; Internal","Rodent","NC_004297.1; NC_004296.1",1,TRUE
"Latino mammarenavirus","Latino virus",0,NA,NA,NA,NA,"Latino mammarenavirus",FALSE,FALSE,"NA","Olival2017; Woolhouse2018; Internal","Rodent","NC_010760.1; NC_010758.1",1,FALSE
"Lebombo virus","Lebombo virus",1,"Midge","Automatic match",NA,NA,"Lebombo virus",FALSE,FALSE,"Moore et al. 1975; 1124969; 24475112","Olival2017; Woolhouse2018","Orphan","JQ610665.1; JQ610666.1; JQ610667.1; JQ610668.1; JQ610669.1; JQ610670.1; JQ610671.1; JQ610672.1; JQ610673.1; JQ610674.1",1,TRUE
"Lettuce necrotic yellows cytorhabdovirus","Lettuce necrotic yellows virus",1,"Aphid",NA,NA,NA,"Lettuce necrotic yellows cytorhabdovirus",FALSE,FALSE,"NA","Woolhouse2018; Internal","Plant","NC_007642.1",1,FALSE
"Lettuce yellow mottle cytorhabdovirus","Lettuce yellow mottle virus",1,NA,NA,NA,NA,"Lettuce yellow mottle cytorhabdovirus",FALSE,FALSE,"NA","Woolhouse2018; Internal","Plant","NC_011532.1",1,FALSE
"Limnipivirus C","Fathead minnow picornavirus",0,NA,NA,NA,NA,"Limnipivirus C",FALSE,FALSE,"NA","Woolhouse2018; Internal","Fish","NC_023437.1",1,FALSE
"Lloviu cuevavirus","Lloviu cuevavirus",0,NA,NA,NA,NA,"Lloviu cuevavirus",FALSE,FALSE,"NA","Woolhouse2018; Internal","Vespbat","NC_016144.1",1,FALSE
"Loei River mammarenavirus","Loie River virus",0,NA,NA,NA,NA,"Loei River mammarenavirus",FALSE,FALSE,"NA","Woolhouse2018; Internal","Rodent","KC669693.1; KC669698.1",1,FALSE
"Louping ill virus","Louping ill virus",1,"Tick",NA,NA,NA,"Louping ill virus",FALSE,FALSE,"Leonova et al. 2015; 19870271; 24552787; 10726271; Calisher, Charles H., and Ernest A. Gould. \Taxonomy of the virus family Flaviviridae.\ï_ê‘_ï_ê‘__Advances in virus researchï_ê‘_ï_ê‘__59 (2003): 1-20.","Olival2017; Woolhouse2018; Internal","Artiodactyl","NC_001809.1",1,TRUE
"Lujo mammarenavirus","Lujo virus",0,NA,NA,NA,NA,"Lujo mammarenavirus",FALSE,FALSE,"19478873; 25393244; ","Woolhouse2018; Internal","Rodent","NC_012777.1; NC_012776.1",1,TRUE
"Lumpy skin disease virus","Lumpy skin disease virus",0,NA,"Automatic match",NA,NA,"Lumpy skin disease virus",FALSE,NA,"","Olival2017","Artiodactyl","NC_003027.1",1,FALSE
"Luna mammarenavirus","Luna virus",0,NA,NA,NA,NA,"Luna mammarenavirus",FALSE,FALSE,"NA","Woolhouse2018; Internal","Rodent","NC_016153.1; NC_016152.1",1,FALSE
"Lunk mammarenavirus","Lunk virus NKS-1",0,NA,NA,NA,NA,"Lunk mammarenavirus",FALSE,FALSE,"NA","Woolhouse2018; Internal","Rodent","NC_018711.1; NC_018710.1",1,FALSE
"Lymphocytic choriomeningitis mammarenavirus","Lymphocytic choriomeningitis virus",0,NA,NA,NA,NA,"Lymphocytic choriomeningitis mammarenavirus",FALSE,FALSE,"Gonzalez et al. 2007; Available from external site; 26631809; 23666045; ","Olival2017; Woolhouse2018; Internal","Rodent","NC_004291.1; NC_004294.1",1,TRUE
"Macaca mulatta polyomavirus 1","Macaca mulatta polyomavirus 1",0,NA,NA,NA,NA,"Macaca mulatta polyomavirus 1",FALSE,FALSE,"Campello et al. 2010","Olival2017","NonHumanPrimate","NC_001669.1",1,TRUE
"Macacine alphaherpesvirus 1","Macacine alphaherpesvirus 1",0,NA,NA,NA,NA,"Macacine alphaherpesvirus 1",FALSE,FALSE,"Huff et al. 2003","Olival2017","NonHumanPrimate","NC_004812.1",1,TRUE
"Macacine betaherpesvirus 3","Macacine betaherpesvirus 3",0,NA,NA,NA,NA,"Macacine betaherpesvirus 3",FALSE,NA,"","Olival2017","NonHumanPrimate","NC_006150.1",1,FALSE
"Macacine gammaherpesvirus 4","Macacine gammaherpesvirus 4",0,NA,NA,NA,NA,"Macacine gammaherpesvirus 4",FALSE,NA,"","Olival2017","NonHumanPrimate","NC_006146.1",1,FALSE
"Macacine gammaherpesvirus 5","Macacine gammaherpesvirus 5",0,NA,NA,NA,NA,"Macacine gammaherpesvirus 5",FALSE,NA,"","Olival2017","NonHumanPrimate","NC_003401.1",1,FALSE
"Macaque simian foamy virus","Macaque simian foamy virus",0,NA,"Automatic match",NA,NA,"Rhesus macaque simian foamy virus",FALSE,FALSE,"; 12241782; 24109214","Woolhouse2018","NonHumanPrimate","NC_010819.1",1,TRUE
"Machupo mammarenavirus","Machupo virus",0,NA,NA,NA,NA,"Machupo mammarenavirus",FALSE,FALSE,"Huaman A et al 2010; 14196061; 25031335; ","Olival2017; Woolhouse2018; Internal","Rodent","NC_005079.1; NC_005078.1",1,TRUE
"Macropodid alphaherpesvirus 1","Macropodid alphaherpesvirus 1",0,NA,NA,NA,NA,"Macropodid alphaherpesvirus 1",FALSE,NA,"","Olival2017","Macropod","NC_029132.1",1,FALSE
"Macropodid alphaherpesvirus 2","Macropodid alphaherpesvirus 2",0,NA,NA,NA,NA,"Macropodid alphaherpesvirus 2",FALSE,NA,"","Olival2017","Macropod","AF061755.1",0,FALSE
"Madariaga virus","Madariaga virus",1,NA,NA,"arrigo2010; avittor2016",NA,"Madariaga virus",FALSE,FALSE,"; http://www.ajtmh.org/content/early/2015/04/09/ajtmh.14-0845.abstract, http://www.nejm.org/doi/full/10.1056/NEJMoa1212628#t=articleBackground","Internal","Rodent","NC_023812.1",1,TRUE
"Madrid orthobunyavirus","Madrid orthobunyavirus",1,"Mosquito","Automatic match",NA,NA,"Madrid orthobunyavirus",FALSE,FALSE,"; 14222439; 24633174","Woolhouse2018",NA,"NC_034497.1; NC_034505.1; NC_034498.1",1,TRUE
"Main Drain orthobunyavirus","Main Drain orthobunyavirus",1,"Midge","Automatic match",NA,NA,"Main Drain orthobunyavirus",FALSE,NA,"","Olival2017; Woolhouse2018","Lagomorph","MH484309.1; MH484310.1; MH484311.1",1,FALSE
"Maize fine streak nucleorhabdovirus","Maize fine streak virus",1,"Leafhopper",NA,NA,NA,"Maize fine streak nucleorhabdovirus",FALSE,FALSE,"NA","Woolhouse2018; Internal","Plant","NC_005974.1",1,FALSE
"Maize Iranian mosaic nucleorhabdovirus","Maize Iranian mosaic virus",1,"Planthopper",NA,NA,NA,"Maize Iranian mosaic nucleorhabdovirus",FALSE,FALSE,"NA","Woolhouse2018; Internal","Plant","NC_036390.1",1,FALSE
"Maize mosaic nucleorhabdovirus","Maize mosaic virus",1,"Planthopper",NA,NA,NA,"Maize mosaic nucleorhabdovirus",FALSE,FALSE,"NA","Woolhouse2018; Internal","Plant","NC_005975.1",1,FALSE
"Malpais Spring vesiculovirus","Malpais Spring virus",1,"Mosquito",NA,NA,NA,"Malpais Spring vesiculovirus",FALSE,FALSE,"NA","Woolhouse2018; Internal","Orphan","NC_025364.1",1,FALSE
"Mamastrovirus 1","Mamastrovirus 1",0,NA,NA,NA,NA,"Mamastrovirus 1",FALSE,FALSE,"48925; 16546454; Dai et al. 2010","Olival2017","Human","NC_030922.1",1,TRUE
"Mamastrovirus 10","Mamastrovirus 10",0,NA,NA,NA,NA,"Mamastrovirus 10",FALSE,NA,"","Olival2017; Woolhouse2018","Carnivore","NC_004579.1",1,FALSE
"Mamastrovirus 13","Mamastrovirus 13",0,NA,NA,NA,NA,"Mamastrovirus 13",FALSE,NA,"","Olival2017; Woolhouse2018","Artiodactyl","NC_002469.1",1,FALSE
"Mamastrovirus 2","Mamastrovirus 2",0,NA,NA,NA,NA,"Mamastrovirus 2",FALSE,NA,"","Olival2017; Woolhouse2018","Carnivore","NC_024701.1",1,FALSE
"Mamastrovirus 3","Mamastrovirus 3",0,NA,NA,NA,NA,"Mamastrovirus 3",FALSE,NA,"","Olival2017; Woolhouse2018","Artiodactyl","NC_025379.1",1,FALSE
"Mamastrovirus 6","Astrovirus MLB1",0,NA,NA,NA,NA,"Mamastrovirus 6",TRUE,FALSE,"18398449; 26212039; 24789796","Woolhouse2018","Human","NC_011400.1",1,TRUE
"Mamastrovirus 9","Astrovirus VA1",0,NA,"Strain",NA,NA,"Mamastrovirus 9",TRUE,FALSE,"19706703; 19706703","Woolhouse2018","Human","NC_013060.1",1,TRUE
"Mammalian 1 bornavirus","Mammalian 1 bornavirus",0,NA,NA,NA,NA,"Mammalian 1 orthobornavirus",FALSE,FALSE,"Kinnunen et al. 2007; 3922055; 23223618","Olival2017; Woolhouse2018","Soricomorph","NC_001607.1",1,TRUE
"Mammalian rubulavirus 5","Parainfluenza virus 5",0,NA,NA,NA,NA,"Mammalian orthorubulavirus 5",FALSE,FALSE,"NA; http://www.ncf-net.org/library/PIV5HostChallenge-0606.htm; 13631261; 4291701; 26583313","Olival2017; Woolhouse2018","Carnivore","NC_006430.1",1,TRUE
"Manzanilla orthobunyavirus","Manzanilla orthobunyavirus",1,"Mosquito","Automatic match",NA,NA,"Manzanilla orthobunyavirus",FALSE,NA,"","Olival2017; Woolhouse2018",NA,"NC_024076.1; NC_024074.1; NC_024075.1",1,FALSE
"Mapuera rubulavirus","Mapuera virus",0,NA,NA,NA,NA,"Mapuera orthorubulavirus",FALSE,FALSE,"NA","Olival2017; Woolhouse2018; Internal","Vespbat","NC_009489.1",1,FALSE
"Maraba vesiculovirus","Maraba virus",1,"Sandfly",NA,NA,NA,"Maraba vesiculovirus",FALSE,TRUE,"NA; 6091472; 6091472","Woolhouse2018","Orphan","NC_025255.1",1,FALSE
