Babayan,Olival,Woolhouse,UniversalName,OtherTaxonomicInfo,Comments,Remove,RemoveComment,SppName_ICTV_MSL2018b
Arenavirus H0030026,,,Arenavirus H0030026,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Arumowot virus,Arumowot virus,,Arumowot virus,Unclassified,Abolished by ICTV in 1999; Listed as unclassified on NCBI; Might be a strain of Salehebad phlebovirus?,NA,,NA
Astrovirus Er/SZAL6/HUN/2011,,,Astrovirus Er/SZAL6/HUN/2011,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Astrovirus MLB2,,,Astrovirus MLB2,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Astrovirus MLB3,,,Astrovirus MLB3,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Astrovirus VA3,,,Astrovirus VA3,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Astrovirus VA4,,,Astrovirus VA4,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Astrovirus wild boar/WBAstV-1/2011/HUN,,,Astrovirus wild boar/WBAstV-1/2011/HUN,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Atlantic salmon calicivirus,,,Atlantic salmon calicivirus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Avisivirus Pf-CHK1/AsV,,,Avisivirus Pf-CHK1/AsV,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Bastrovirus 7,,,Bastrovirus BAS-1,Unclassified,"No match in ICTV taxonomy; Listed as a strain of 'Bastrovirus BAS-1', which in turn is listed as unclassified",NA,,NA
Bastrovirus BAS-2,,,Bastrovirus BAS-2,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Bastrovirus BAS-3,,,Bastrovirus BAS-3,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Bastrovirus-like_virus/VietNam/Bat/17819_21,,,Bastrovirus-like_virus/VietNam/Bat/17819_21,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Bastrovirus/VietNam/Porcine/17489_85,,,Bastrovirus/VietNam/Porcine/17489_85,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Bat coronavirus BM48-31,,,Bat coronavirus BM48-31/BGR/2008,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Bat hepatovirus,,,Bat hepatovirus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Bat Hp-betacoronavirus,,,Bat Hp-betacoronavirus/Zhejiang2013,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Bat picornavirus 1,,,Bat picornavirus 1,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Bat picornavirus 2,,,Bat picornavirus 2,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Bat picornavirus 3,,,Bat picornavirus 3,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Bat sapovirus TLC58 HK,,,Bat sapovirus TLC58/HK,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Bean necrotic mosaic virus,,,Bean necrotic mosaic virus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Beilong virus,,,Beilong virus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Betacoronavirus HKU24,,,Betacoronavirus HKU24,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
,Bhanja virus,,Bhanja virus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
,Bovine adenovirus E,,Bovine adenovirus E,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
,Bovine astrovirus,,Bovine astrovirus,Unclassified,"Abolished in 2011, listed as a potential species in https://data.ictvonline.org/proposals/2010.018a-cV.A.v4.Mamastrovirus.pdf)",NA,,NA
Bovine astrovirus B170/HK,,,Bovine astrovirus B170/HK,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Bovine astrovirus B18/HK,,,Bovine astrovirus B18/HK,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Bovine astrovirus B76/HK,,,Bovine astrovirus B76/HK,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Bovine astrovirus CH13,,,Bovine astrovirus CH13,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Bovine hepacivirus,,,Bovine hepacivirus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Brazoran virus,,,Brazoran virus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Burkina Faso astrovirus,,,Burkina Faso astrovirus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Calicivirus isolate TCG,,,Calicivirus isolate TCG,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Canine astrovirus,,,Canine astrovirus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Canine calicivirus,Canine calicivirus,,Canine calicivirus,Unclassified,Abolished in 1999; Listed as unclassified on NCBI,NA,,NA
Canine pneumovirus,,,Canine pneumovirus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Capsicum chlorosis virus,,,Capsicum chlorosis virus,Unclassified,,NA,,Capsicum chlorosis orthotospovirus
Cardamones virus,,,Cardamones virus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Catarina virus,,,Catarina virus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Cell fusing agent virus,,,Cell fusing agent virus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
,Chagres virus,,Chagres virus,Unclassified,Abolished in 1999; Listed as unclassified on NCBI,NA,,NA
Chaoyang virus,,,Chaoyang virus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Chicken calicivirus,,,Chicken calicivirus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Chicken gallivirus 1,,,Chicken gallivirus 1,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Chicken megrivirus,,,Chicken megrivirus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Chicken orivirus 1,,,Chicken orivirus 1,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Chicken picornavirus 1,,,Chicken picornavirus 1,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Chicken picornavirus 4,,,Chicken picornavirus 4,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Chicken picornavirus 5,,,Chicken picornavirus 5,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Chicken proventriculitis virus,,,Chicken proventriculitis virus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Chicken sicinivirus JSY,,,Chicken sicinivirus JSY,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Culex flavivirus,,,Culex flavivirus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Culex tritaeniorhynchus rhabdovirus,,,Culex tritaeniorhynchus rhabdovirus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Dandenong virus,,,Dandenong virus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Dolphin rhabdovirus,,,Dolphin rhabdovirus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Donggang virus,,,Donggang virus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Dromedary astrovirus,,,Dromedary astrovirus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Duck megrivirus,,,Duck megrivirus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Farmington virus,,,Farmington virus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Feline astrovirus 2,,,Feline astrovirus 2,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Feline picornavirus,,,Feline picornavirus,Unclassified,"No match in ICTV taxonomy ('Feline picornavirus changed to Feline calicivirus in 1976, but the accession number for this record describes a new virus in 2002); Listed as unclassified on NCBI",NA,,NA
Ferret kobuvirus,,,Ferret kobuvirus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Gallivirus Pf-CHK1/GV,,,Gallivirus Pf-CHK1/GV,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
,Gan Gan virus,,Gan Gan virus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Gbagroube virus,,,Gbagroube virus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Goose astrovirus,,,Goose astrovirus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Goose calicivirus,,,Goose calicivirus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Goose paramyxovirus SF02,,,Goose paramyxovirus SF02,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,TRUE,"Listed as unclassified on NCBI, but both the paper sequencing this strain and BLAST searches group it with Newcastle Disease Virus (Avian avulavirus 1)",NA
,Guinea pig adenovirus,,Guinea pig adenovirus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Heartland virus,,,Heartland virus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
,GB virus B,,Hepatitis GB virus B,Unclassified,Abolished in 2005 (but still listed as a species on NCBI),NA,,NA
HMO Astrovirus A,,,HMO Astrovirus A,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
,Human norovirus-Alphatron,,Human norovirus - Alphatron,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,TRUE,Identical by BLAST to multiple Norwalk virus isolates,NA
Ia io picornavirus 1,,,Ia io picornavirus 1,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
,Isla Vista virus,,Isla Vista virus,Unclassified,Abolished in 2016 (listed as a tentative species in https://data.ictvonline.org/proposals/2016.023a-cM.A.v2.Hantavirus_sprev.pdf),NA,,NA
,Issyk-Kul virus,,Issyk-Kul virus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
,Itaporanga virus,,Itaporanga virus,Unclassified,Abolished in 1999; Listed as unclassified on NCBI,NA,,NA
J-virus,,,J-virus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Kama virus,,,Kama virus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Kamiti River virus,,,Kamiti River virus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Leopards Hill virus,,,Leopards Hill virus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Lesavirus 1,,,Lesavirus 1,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Lesavirus 2,,,Lesavirus 2,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Lone Star virus,,,Lone Star virus,Unclassified,"Abolished in 1982 (https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=19810399), though sequence is newer; Listed as unclassified on NCBI",NA,,NA
Long Island tick rhabdovirus,,,Long Island tick rhabdovirus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Lyssavirus Ozernoe,,,Lyssavirus Ozernoe,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Magpie-robin coronavirus HKU18,,,Magpie-robin coronavirus HKU18,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Malakal virus,,,Malakal virus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Malsoor virus,,,Malsoor virus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Maprik virus,,,Maprik virus,Unclassified,"Abolished in 1982 (https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=19810401), though sequence is newer; Listed as unclassified on NCBI",NA,,NA
Melon yellow spot virus,,,Melon yellow spot virus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Menekre virus,,,Menekre virus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Mercadeo virus,,,Mercadeo virus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Mink calicivirus,Mink calicivirus,,Mink calicivirus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
,Mink enteric sapovirus,,Mink enteric sapovirus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Morogoro virus,,,Morogoro mammarenavirus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Mossman virus,,,Mossman virus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Mouse astrovirus M-52/USA/2008,,,Mouse astrovirus M-52/USA/2008,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Mulberry vein banding virus,,,Mulberry vein banding virus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
,Muleshoe virus,,Muleshoe virus,Unclassified,Abolished in 2016 (listed as a tentative species in https://data.ictvonline.org/proposals/2016.023a-cM.A.v2.Hantavirus_sprev.pdf),NA,,NA
Murine astrovirus,,,Murine astrovirus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Murrumbidgee virus,,,Murrumbidgee virus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Nariva virus,Nariva virus,,Nariva virus,Unclassified,Abolished in 1991; Listed as unclassified on NCBI,NA,,NA
Norway rat hepacivirus 1,,,Norway rat hepacivirus 1,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Norway rat hepacivirus 2,,,Norway rat hepacivirus 2,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Norway rat pegivirus,,,Norway rat pegivirus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Norway rat pestivirus,,,Norway rat pestivirus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Paraiso Escondido virus,,,Paraiso Escondido virus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Parramatta River virus,,,Parramatta River virus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Persimmon virus A,,,Persimmon virus A,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Pestivirus Giraffe-1,,,Pestivirus Giraffe-1,Unclassified,No match in ICTV taxonomy,NA,,NA
Phacovirus Pf-CHK1/PhV,,,Phacovirus Pf-CHK1/PhV,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Porcine astrovirus 2,,,Porcine astrovirus 2,Unclassified,"Porcine astrovirus (formerly Porcine astrovirus 1) is now Mamastrovirus 3, but no match for this name; Listed as unclassified on NCBI",NA,,NA
Porcine astrovirus 3,,,Porcine astrovirus 3,Unclassified,"Porcine astrovirus (formerly Porcine astrovirus 1) is now Mamastrovirus 3, but no match for this name; Listed as unclassified on NCBI",NA,,NA
Porcine astrovirus 4,,,Porcine astrovirus 4,Unclassified,"Porcine astrovirus (formerly Porcine astrovirus 1) is now Mamastrovirus 3, but no match for this name; Listed as unclassified on NCBI",NA,,NA
Porcine astrovirus 5,,,Porcine astrovirus 5,Unclassified,"Porcine astrovirus (formerly Porcine astrovirus 1) is now Mamastrovirus 3, but no match for this name; Listed as unclassified on NCBI",NA,,NA
Qinghai Himalayan marmot astrovirus 1,,,Qinghai Himalayan marmot astrovirus 1,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Qinghai Himalayan marmot astrovirus 2,,,Qinghai Himalayan marmot astrovirus 2,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Quang Binh virus,,,Quang Binh virus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Rabbit astrovirus TN/2208/2010,,,Rabbit astrovirus TN/2208/2010,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Rabbit coronavirus HKU14,Rabbit coronavirus,,Rabbit coronavirus HKU14,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
,Rabbit kidney vacuolating virus,,Rabbit kidney vacuolating virus,Unclassified,Abolished in 2015; Unclassified on NCBI,NA,,NA
Rabbit vesivirus,,,Rabbit vesivirus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
,Rio Segundo virus,,Rio Segundo virus,Unclassified,Abolished in 2016 (listed as a tentative species in https://data.ictvonline.org/proposals/2016.023a-cM.A.v2.Hantavirus_sprev.pdf),NA,,NA
Rodent hepacivirus,,,Rodent hepacivirus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Rodent pegivirus,,,Rodent pegivirus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Salem virus,Salem virus,,Salem virus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
San Miguel sea lion virus 8,,,San Miguel sea lion virus 8,Unclassified,"San Miguel sea lion virus is now merged with Vesicular exanthema of swine virus, but no match in taxonomy when including number; Listed as unclassified on NCBI",NA,,NA
Sandfly fever Sicilian virus,Sandfly fever Sicilian virus,,Sandfly fever Sicilian virus,Unclassified,Abolished in 1999; Listed as unclassified on NCBI,NA,,NA
Scophthalmus maximus rhabdovirus,,,Scophthalmus maximus rhabdovirus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
,Sealpox virus,,Seal parapoxvirus,Unclassified,"No match in ICTV taxonomy; Listed as a synonym for 'Seal parapoxvirus' on NCBI, which in turn is listed as unclassified",NA,,NA
,Simian virus 12,,Simian virus 12,Unclassified,Abolished in 2015; Unclassified on NCBI,NA,,NA
Siniperca chuatsi rhabdovirus,,,Siniperca chuatsi rhabdovirus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Skinner Tank virus,,,Skinner Tank virus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Sokoluk virus,,,Sokoluk virus,Unclassified,Abolished in 1995 (https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=19930868); Listed as unclassified on NCBI,NA,,NA
Spanish goat encephalitis virus,,,Spanish goat encephalitis virus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Sparrow coronavirus HKU17,,,Sparrow coronavirus HKU17,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Spodoptera frugiperda rhabdovirus,,,Spodoptera frugiperda rhabdovirus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Spondweni virus,,,Spondweni virus,Unclassified,Abolished in 1995 (https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=19930869); Listed as unclassified on NCBI,NA,,NA
Steller sea lion vesivirus,,,Steller sea lion vesivirus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Sunguru virus,,,Sunguru virus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Tailam virus,,,Tailam virus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Tamana bat virus,Tamana bat virus,,Tamana bat virus,Unclassified,Abolished in 1995 (https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=19930872); Listed as unclassified on NCBI,NA,,NA
,Tamdy virus,,Tamdy virus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
,Tataguine virus,,Tataguine virus,Unclassified,Abolished in 1982; Listed as unclassified on NCBI,NA,,NA
Tomato zonate spot virus,,,Tomato zonate spot virus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
,Trubanaman virus,,Trubanaman virus,Unclassified,Abolished in 1982; Listed as unclassified on NCBI,NA,,NA
Tulane virus,,,Tulane virus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Tupaia hepatovirus A,,,Tupaia hepatovirus A,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Tupaia paramyxovirus,Tupaia paramyxovirus,,Tupaia paramyxovirus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Turkey calicivirus,,,Turkey calicivirus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
,Upolu virus,,Upolu virus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Vesivirus ferret badger,,,Vesivirus ferret badger/JX12/China/2012,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
,Witwatersrand virus,,Witwatersrand virus,Unclassified,Abolished in 1982; Listed as unclassified on NCBI,NA,,NA
Xiburema virus,,,Xiburema virus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Bat coronavirus 1A,,,Bat coronavirus 1A,Unclassified; Strain,No match in ICTV taxonomy; Listed as unclassified on NCBI. Checked for duplication – K80 distance from Bat Coronavirus 1B is 0.129,NA,,NA
Bat coronavirus 1B,,,Bat coronavirus 1A,Unclassified; Strain,"No match in ICTV taxonomy; Listed as a strain of 'Bat coronavirus 1A' on NCBI, which in turn is listed as unclassified",NA,,NA
Equine hepacivirus JPN3/JAPAN/2013,,,Equine hepacivirus,Unclassified; Strain,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
Mosquito flavivirus,,,Quang Binh virus,Unclassified; Strain,"No match in ICTV taxonomy; Listed as a strain of 'Quang Binh virus' on NCBI, which in turn is listed as unclassified",NA,,NA
Hybrid snakehead virus,,,Siniperca chuatsi rhabdovirus,Unclassified; Strain,"No match in ICTV taxonomy; Listed as a strain of 'Siniperca chuatsi rhabdovirus' on NCBI, which in turn is unclassified",TRUE,Duplicate (K80 distance from Siniperca chuatsi rhabdovirusonly 0.053),NA
Calicivirus pig AB90,,,St-Valerien swine virus,Unclassified; Strain,"No match in ICTV taxonomy; Listed as a strain of 'St-Valerien swine virus' on NCBI, which in turn is listed as unclassified",NA,,NA
St. Valerien swine virus,,,St-Valerien swine virus,Unclassified; Strain,No match in ICTV taxonomy; Listed as unclassified on NCBI. Checked for duplication – K80 distance from Calcivirus pig AB90 is 0.121,NA,,NA
,Deer adenovirus,,NA,Unknown,No match in ICTV taxonomy; No match in NCBI taxonomy; Raw data lists order as 'unassigned',TRUE,See ‘Comments’ column,NA
,Caviid herpesvirus 1,,NA,Unknown,"Abolished in 1999; No match on NCBI (though there is a match for 'Gaviid herpesvirus 1', which is listed as unclassified)",TRUE,See ‘Comments’ column,NA
,Caviid herpesvirus 3,,NA,Unknown,No match in ICTV taxonomy; No match in NCBI taxonomy,TRUE,See ‘Comments’ column,NA
,Cricetid herpesvirus,,NA,Unknown,"Abolished in 1999; No match on NCBI (there is a 'Cricetid herpesvirus 2' on ICTV, created in 1999, but this is explicitly stated as distinct from the original, now abolished, virus - see https://data.ictvonline.org/proposals/2011.013aV.A.v1.Rhadinovirus-Sp.pdf)",TRUE,See ‘Comments’ column,NA
,Murid herpesvirus 3,,NA,Unknown,No match in ICTV taxonomy; No match in NCBI taxonomy,TRUE,See ‘Comments’ column,NA
,Murid herpesvirus 5,,NA,Unknown,No match in ICTV taxonomy; No match in NCBI taxonomy,TRUE,See ‘Comments’ column,NA
,Sciurid herpesvirus 1,,NA,Unknown,No match in ICTV taxonomy; No match in NCBI taxonomy,TRUE,See ‘Comments’ column,NA
,Sciurid herpesvirus 2,,NA,Unknown,No match in ICTV taxonomy; No match in NCBI taxonomy,TRUE,See ‘Comments’ column,NA
,Goat adenovirus,,NA,Unknown,"No match in ICTV taxonomy; No match on NCBI - 'Goat adenovirus 1' listed as a type of Ovine Adenovirus D, but this is in a different genus and already listed below",TRUE,See ‘Comments’ column,NA
,Simian adenovirus,,NA,Unknown,Very large number of species starting with 'Simian adenovirus X' (where X is a number or letter) on ICTV and NCBI; Order listed as unassigned in raw data,TRUE,See ‘Comments’ column,NA
,Squirrel adenovirus,,NA,Unknown,No match in ICTV taxonomy; No match in NCBI -  'Squirrel adenovirus 1' listed as unclassified on NCBI; Order given as 'unassigned' in raw data,TRUE,See ‘Comments’ column,NA
,Bovine norovirus-CH126,,NA,Unknown,"No match in ICTV taxonomy; No match on NCBI taxonomy, but a sequence contains 'CH126' as part of a longer isolate name (for an isolate of Norwalk virus); Order listed as unassigned in raw data",TRUE,See ‘Comments’ column,NA
,Ife virus,,NA,Unknown,Abolished in 1991; No match on NCBI,TRUE,See ‘Comments’ column,NA
,Japanaut virus,,NA,Unknown,No match on ICTV or NCBI; 'Japanant virus' abolished in 1991 on ICTV (and no match on NCBI),TRUE,See ‘Comments’ column,NA
,Lapine parvovirus,,NA,Unknown,Abolished in 2013; No match on NCBI,TRUE,See ‘Comments’ column,NA
,Baboon polyomavirus 2,,NA,Unknown,Abolished in 2015; No match on NCBI,TRUE,See ‘Comments’ column,NA
,Human polyomavirus,,NA,Unknown,"Abolished in 2015 (reason: too vague, cannot be linked to a specific species); Several new 'Human polyomavirus X' (where X is a number) were created but these are definitively linked to other viruses in this list",TRUE,See ‘Comments’ column,NA
,Simian virus 10,,NA,Unknown,Abolished in 2015; No match on NCBI,TRUE,See ‘Comments’ column,NA
,Marmodid herpesvirus 1,,NA,Unknown,Abolished in 1999; No match on NCBI,TRUE,See ‘Comments’ column,NA
,Bangui virus,,NA,Unknown,No match in ICTV taxonomy; No match on NCBI taxonomy,TRUE,See ‘Comments’ column,NA
,Okola virus,,NA,Unknown,"No match in ICTV or NCBI; listed as a Bunyavirus in raw data, so it's not a typo for 'Mokola virus'",TRUE,See ‘Comments’ column,NA
,Wanowrie virus,,NA,Unknown,No match on ICTV or NCBI,TRUE,See ‘Comments’ column,NA
Achimota virus 1,,,Achimota rubulavirus 1,,,NA,,Achimota pararubulavirus 1
Achimota virus 2,,,Achimota rubulavirus 2,,,NA,,Achimota pararubulavirus 2
Amapari virus,Amapari virus,,Amaparí mammarenavirus,,,NA,,Serra do Navio mammarenavirus
Newcastle disease virus,Newcastle disease virus,Avian avulavirus 1 ,Avian avulavirus 1,,,NA,,Avian orthoavulavirus 1
Avian paramyxovirus penguin,,,Avian avulavirus 10,,No match in ICTV taxonomy; Listed as a strain on NCBI,NA,,Avian metaavulavirus 10
Avian paramyxovirus 11,,,Avian avulavirus 11,,,NA,,Avian metaavulavirus 11
Avian paramyxovirus 12,,,Avian avulavirus 12,,,NA,,Avian orthoavulavirus 12
Avian paramyxovirus 3,,,Avian avulavirus 3,,,NA,,Avian paraavulavirus 3
